Median_House_Value,Median_Income,Median_Age,Tot_Rooms,Latitude,Distance_to_coast
452600.0,8.3252,41,880,37.88,9263.04077285038
358500.0,8.3014,21,7099,37.86,10225.7330715424
352100.0,7.2574,52,1467,37.85,8259.08510932293
341300.0,5.6431,52,1274,37.85,7768.0865708364
342200.0,3.8462,52,1627,37.85,7768.0865708364
269700.0,4.0368,52,919,37.85,7768.0865708364
299200.0,3.6591,52,2535,37.84,6843.02084737498
241400.0,3.12,52,3104,37.84,6843.02084737498
226700.0,2.0804,42,2555,37.84,6363.94801261769
261100.0,3.6912,52,3549,37.84,6843.02084737498
281500.0,3.2031,52,2202,37.85,7349.62084160981
241800.0,3.2705,52,3503,37.85,7349.62084160981
213500.0,3.075,52,2491,37.85,7349.62084160981
191300.0,2.6736,52,696,37.84,6363.94801261769
159200.0,1.9167,52,2643,37.85,7349.62084160981
140000.0,2.125,50,1120,37.85,7349.62084160981
152500.0,2.775,52,1966,37.85,7016.67724394864
155500.0,2.1202,52,1228,37.85,7016.67724394864
158700.0,1.9911,50,2239,37.84,6363.94801261769
162900.0,2.6033,52,1503,37.84,5976.28805827603
147500.0,1.3578,40,751,37.85,7016.67724394864
159800.0,1.7135,42,1639,37.85,7016.67724394864
113900.0,1.725,52,2436,37.84,5976.28805827603
99700.0,2.1806,52,1688,37.84,5976.28805827603
132600.0,2.6,52,2224,37.84,5976.28805827603
107500.0,2.4038,41,535,37.85,6781.86317450868
93800.0,2.4597,49,1130,37.85,6781.86317450868
105500.0,1.808,52,1898,37.85,6781.86317450868
108900.0,1.6424,50,2082,37.84,5698.72690317439
132000.0,1.6875,52,729,37.84,5698.72690317439
122300.0,1.9274,49,1916,37.84,5698.72690317439
115200.0,1.9615,52,2153,37.84,5698.72690317439
110400.0,1.7969,48,1922,37.84,5976.28805827603
104900.0,1.375,49,1655,37.83,4967.00519443677
109700.0,2.7303,51,2665,37.83,4967.00519443677
97200.0,1.4861,49,1215,37.83,4967.00519443677
104500.0,1.0972,48,1798,37.83,4967.00519443677
103900.0,1.4103,52,1511,37.83,4629.27324947942
191400.0,3.48,52,1470,37.83,5427.30174564534
176000.0,2.5898,52,2432,37.83,5427.30174564534
155400.0,2.0978,52,1665,37.83,5427.30174564534
150000.0,1.2852,51,936,37.83,5427.30174564534
118800.0,1.025,49,713,37.84,6363.94801261769
188800.0,3.9643,52,950,37.84,6363.94801261769
184400.0,3.0125,52,1443,37.83,5427.30174564534
182300.0,2.6768,52,1656,37.83,5427.30174564534
142500.0,2.026,50,1125,37.83,5427.30174564534
137500.0,1.7348,43,1007,37.82,4012.37142896127
187500.0,0.9506,40,624,37.82,4569.92738545906
112500.0,1.775,40,946,37.82,4012.37142896127
171900.0,0.9218,21,896,37.82,4012.37142896127
93800.0,1.5045,43,1868,37.82,4012.37142896127
97500.0,1.1108,41,3221,37.82,4012.37142896127
104200.0,1.2475,52,1630,37.82,4012.37142896127
87500.0,1.6098,52,1170,37.82,3585.76569534236
83100.0,1.4113,52,945,37.82,3585.76569534236
87500.0,1.5057,52,1238,37.82,3585.76569534236
85300.0,0.8172,52,1489,37.82,3585.76569534236
80300.0,1.2171,52,1387,37.82,3585.76569534236
60000.0,2.5625,2,158,37.82,3340.66007838528
75700.0,3.3929,52,1121,37.83,4442.14980901594
75000.0,6.1183,49,135,37.82,3340.66007838528
86100.0,0.9011,50,760,37.81,2249.48592561738
76100.0,1.191,52,1224,37.81,2214.98605591486
73500.0,2.5938,48,828,37.81,2214.98605591486
78400.0,1.1667,52,1010,37.81,2214.98605591486
84400.0,0.8056,48,1455,37.81,2214.98605591486
81300.0,2.6094,52,1027,37.8,1197.17435507093
85000.0,1.8516,52,572,37.81,2214.98605591486
129200.0,0.9802,46,2801,37.81,2249.48592561738
82500.0,1.7719,26,768,37.81,2249.48592561738
95200.0,0.7286,46,935,37.81,2249.48592561738
75000.0,1.75,49,844,37.81,2249.48592561738
67500.0,0.4999,46,12,37.81,2249.48592561738
137500.0,2.483,20,835,37.81,2249.48592561738
177500.0,0.9241,17,1237,37.81,2599.63896101145
102100.0,2.4464,36,2914,37.81,2599.63896101145
108300.0,1.1111,19,1207,37.81,2599.63896101145
112500.0,0.8026,23,1745,37.81,2249.48592561738
